file,count,latestLine
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\app\qa\page.tsx,4,8460
c:\Users\HP\OneDrive\Desktop\leopard\run-claude-proxy.ps1,3,8290
c:\Users\HP\.claude\settings.json,2,8285
c:\Users\HP\OneDrive\Desktop\leopard\.claude\settings.json,4,8280
c:\Users\HP\.claude\plugins\known_marketplaces.json,1,7835
c:\Users\HP\.claude\plugins\installed_plugins.json,1,7830
c:\Users\HP\OneDrive\Desktop\leopard\.mcp.json,1,5737
c:\Users\HP\OneDrive\Desktop\leopard\mcp.json,1,5732
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\app\api\video-jobs\[jobId]\route.ts,3,5430
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\middleware.ts,4,5326
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\app\api\generate\analyze\route.ts,4,5219
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\app\api\qa-chat\route.ts,3,5214
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\app\api\analyze\video\route.ts,2,5209
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\lib\video-job-queue.ts,2,5130
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\app\api\generate\image\route.ts,11,4739
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\components\playgrounds\image-playground.tsx,3,4682
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\components\input-bar.tsx,19,4371
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\app\app\playground\[modelId]\page.tsx,5,4361
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\components\playgrounds\video-playground.tsx,7,4321
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\app\api\generate\video\route.ts,1,4311
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\app\app\chat\[chatId]\page.tsx,6,4116
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\hooks\use-streaming.ts,5,4111
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\app\api\chat\route.ts,41,4106
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\components\playgrounds\analysis-playground.tsx,2,3517
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\types\index.ts,6,3477
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\tsconfig.json,1,3444
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\components\sidebar.tsx,1,3405
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\app\app\layout.tsx,1,3395
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\components\message.tsx,7,3216
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\lib\artifact-detector.ts,9,3062
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\lib\image-cache.ts,3,3057
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\components\canvas-panel.tsx,13,2904
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\app\layout.tsx,1,2729
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\package.json,1,2729
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\components\landing-page.tsx,1,2729
c:\Users\HP\OneDrive\Desktop\leopard\next-frontend\scripts\qa-regression.ps1,6,2391
